sample,adc0,adc1,adc2,adc3
 265,1406,257,0,0
 266,1405,256,0,0
 267,1406,255,0,0
 268,1406,256,0,0
 269,1406,256,0,0
 270,1406,256,0,0
 271,1406,256,0,0
 272,1406,256,0,0
 273,1406,256,0,0
 274,1406,256,0,0
 275,1406,256,0,0
 276,1407,257,0,0
 277,1406,256,0,0
 278,1406,256,0,0
 279,1406,256,0,0
 280,1406,256,0,0
 281,1406,256,0,0
 282,1406,256,0,0
 283,1406,256,0,0
 284,1406,256,0,0
 285,1406,256,0,0
 286,1405,255,0,0
 287,1407,256,0,0
 288,1406,256,0,0
 289,1406,256,0,0
 290,1406,256,0,0
 291,1406,255,0,0
 292,1407,256,0,0
 293,1407,256,0,0
 294,1406,255,0,0
 295,1406,256,0,0
 296,1406,257,0,0
 297,1407,256,0,0
 298,1407,255,0,0
 299,1406,255,0,0
 300,1406,256,0,0
 301,1405,256,0,0
 302,1407,255,0,0
 303,1407,255,0,0
 304,1406,256,0,0
 305,1406,255,0,0
 306,1407,256,0,0
 307,1406,256,0,0
 308,1406,255,0,0
 309,1406,256,0,0
 310,1407,255,0,0
 311,1407,256,0,0
 312,1406,255,0,0
 313,1406,255,0,0
 314,1405,256,0,0
 315,1405,256,0,0
 316,1405,256,0,0
 317,1406,256,0,0
 318,1406,255,0,0
 319,1407,257,0,0
 320,1406,257,0,0
 321,1407,255,0,0
 322,1406,255,0,0
 323,1407,256,0,0
 324,1406,256,0,0
 325,1406,256,0,0
 326,1406,255,0,0
 327,1406,256,0,0
 328,1406,256,0,0
 329,1407,255,0,0
 330,1407,255,0,0
 331,1406,255,0,0
 332,1407,256,0,0
 333,1407,255,0,0
 334,1407,256,0,0
 335,1406,257,0,0
 336,1407,256,0,0
 337,1408,255,0,0
 338,1407,255,0,0
 339,1407,256,0,0
 340,1406,256,0,0
 341,1406,256,0,0
 342,1407,257,0,0
 343,1407,257,0,0
 344,1407,256,0,0
 345,1407,257,0,0
 346,1406,256,0,0
 347,1406,256,0,0
 348,1406,257,0,0
 349,1407,256,0,0
 350,1406,256,0,0
 351,1407,256,0,0
 352,1407,256,0,0
 353,1406,257,0,0
 354,1407,256,0,0
 355,1407,257,0,0
 356,1407,256,0,0
 357,1406,256,0,0
 358,1407,256,0,0
 359,1407,256,0,0
 360,1406,256,0,0
 361,1407,256,0,0
 362,1407,255,0,0
 363,1406,256,0,0
 364,1407,256,0,0
 365,1407,255,0,0
 366,1407,257,0,0
 367,1406,255,0,0
 368,1407,254,0,0
 369,1407,256,0,0
 370,1407,256,0,0
 371,1407,255,0,0
 372,1407,255,0,0
 373,1407,256,0,0
 374,1407,256,0,0
 375,1406,257,0,0
 376,1406,255,0,0
 377,1407,256,0,0
 378,1406,256,0,0
 379,1406,255,0,0
 380,1406,255,0,0
 381,1406,255,0,0
 382,1408,256,0,0
 383,1407,255,0,0
 384,1407,256,0,0
 385,1407,255,0,0
 386,1407,257,0,0
 387,1407,255,0,0
 388,1407,255,0,0
 389,1407,255,0,0
 390,1408,256,0,0
 391,1407,256,0,0
 392,1407,255,0,0
 393,1407,256,0,0
 394,1407,256,0,0
 395,1407,255,0,0
 396,1406,255,0,0
 397,1407,255,0,0
 398,1407,256,0,0
 399,1408,256,0,0
 400,1407,255,0,0
 401,1407,256,0,0
 402,1408,257,0,0
 403,1407,256,0,0
 404,1408,256,0,0
 405,1407,256,0,0
 406,1407,256,0,0
 407,1408,255,0,0
 408,1407,256,0,0
 409,1407,255,0,0
 410,1408,258,0,0
 411,1407,255,0,0
 412,1408,255,0,0
 413,1407,255,0,0
 414,1408,255,0,0
 415,1407,255,0,0
 416,1408,256,0,0
 417,1407,255,0,0
 418,1407,256,0,0
 419,1407,255,0,0
 420,1407,255,0,0
 421,1407,257,0,0
 422,1408,256,0,0
 423,1407,256,0,0
 424,1407,255,0,0
 425,1407,255,0,0
 426,1407,256,0,0
 427,1407,255,0,0
 428,1408,255,0,0
 429,1408,256,0,0
 430,1407,255,0,0
 431,1408,256,0,0
 432,1407,255,0,0
 433,1407,256,0,0
 434,1407,256,0,0
 435,1407,256,0,0
 436,1408,256,0,0
 437,1408,256,0,0
 438,1408,257,0,0
 439,1407,255,0,0
 440,1407,255,0,0
 441,1407,256,0,0
 442,1407,257,0,0
 443,1407,256,0,0
 444,1408,255,0,0
 445,1407,256,0,0
 446,1407,256,0,0
 447,1407,256,0,0
 448,1408,257,0,0
 449,1407,256,0,0
 450,1408,257,0,0
 451,1407,255,0,0
 452,1407,256,0,0
 453,1408,255,0,0
 454,1407,256,0,0
 455,1408,256,0,0
 456,1408,256,0,0
 457,1407,257,0,0
 458,1408,257,0,0
 459,1407,256,0,0
 460,1408,256,0,0
 461,1407,257,0,0
 462,1408,256,0,0
 463,1408,256,0,0
 464,1408,256,0,0
 465,1407,256,0,0
