Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487722084,--,--
No,Ch,Hit,Time_H,Time_L,Energy
0,0,0x110121,0,1106976,11208
1,0,0x110121,0,1762336,11223
2,0,0x110121,0,2417696,11219
3,0,0x110121,0,3073056,11222
4,0,0x110121,0,3728416,11218
5,0,0x110121,0,4383776,11219
6,0,0x110121,0,5039136,11217
7,0,0x110121,0,5694496,11207
8,0,0x110121,0,6349856,11222
9,0,0x110121,0,7005216,11219
10,0,0x110121,0,7660576,11227
11,0,0x110121,0,8315936,11226
12,0,0x110121,0,8971296,11222
13,0,0x110121,0,9626656,11224
14,0,0x110121,0,10282016,11229
15,0,0x110121,0,10937376,11228
16,0,0x110121,0,11592736,11235
17,0,0x110121,0,12248096,11214
18,0,0x110121,0,12903456,11219
19,0,0x110121,0,13558816,11200
20,0,0x110121,0,14214176,11190
21,0,0x110121,0,14869536,11206
22,0,0x110121,0,15524896,10677
23,0,0x110121,0,16180256,11207
24,0,0x110121,0,16835616,11210
25,0,0x110121,0,17490976,11215
26,0,0x110121,0,18146336,11210
27,0,0x110121,0,18801696,11209
28,0,0x110121,0,19457056,11210
29,0,0x110121,0,20112416,11221
30,0,0x110121,0,20767776,11624
31,0,0x110121,0,21423136,11206
32,0,0x110121,0,22078496,11198
33,0,0x110121,0,22733856,11207
34,0,0x110121,0,23389216,11213
35,0,0x110121,0,24044576,11203
36,0,0x110121,0,24699936,11210
37,0,0x110121,0,25355296,11212
38,0,0x110121,0,26010656,11198
39,0,0x110121,0,26666016,11472
40,0,0x110121,0,27321376,11206
41,0,0x110121,0,27976736,11201
42,0,0x110121,0,28632096,11214
43,0,0x110121,0,29287456,11213
44,0,0x110121,0,29942816,9837
45,0,0x110121,0,30598176,11222
46,0,0x110121,0,31253536,11941
47,0,0x110121,0,31908896,11212
48,0,0x110121,0,32564256,11208
49,0,0x110121,0,33219616,11209
50,0,0x110121,0,33874976,11209
51,0,0x110121,0,34530336,11204
52,0,0x110121,0,35185696,11210
53,0,0x110121,0,35841056,10186
54,0,0x110121,0,36496416,11214
55,0,0x110121,0,37151776,10800
56,0,0x110121,0,37807136,11215
57,0,0x110121,0,38462496,11212
58,0,0x110121,0,39117856,11211
59,0,0x110121,0,39773216,11201
60,0,0x110121,0,40428576,11209
61,0,0x110121,0,41083936,11583
62,0,0x110121,0,41739296,11205
63,0,0x110121,0,42394656,11205
64,0,0x110121,0,43050016,10035
65,0,0x110121,0,43705376,11213
66,0,0x110121,0,44360736,11213
67,0,0x110121,0,45016096,11204
68,0,0x110121,0,45671456,11212
69,0,0x110121,0,46326816,11201
70,0,0x110121,0,46982176,11202
71,0,0x110121,0,47637536,11208
72,0,0x110121,0,48292896,10555
73,0,0x110121,0,48948256,11210
74,0,0x110121,0,49603616,11208
75,0,0x110121,0,50258976,11207
76,0,0x110121,0,50914336,11204
77,0,0x110121,0,51569696,11208
78,0,0x110121,0,52225056,11210
79,0,0x110121,0,52880416,11207
80,0,0x110121,0,53535776,11207
81,0,0x110121,0,54191136,10804
82,0,0x110121,0,54846496,11199
83,0,0x110121,0,55501856,11204
84,0,0x110121,0,56157216,11210
85,0,0x110121,0,56812576,11214
86,0,0x110121,0,57467936,11206
87,0,0x110121,0,58123296,9425
88,0,0x110121,0,58778656,11212
89,0,0x110121,0,59434016,11787
90,0,0x110121,0,60089376,11201
91,0,0x110121,0,60744736,11209
92,0,0x110121,0,61400096,11209
93,0,0x110121,0,62055456,11210
94,0,0x110121,0,62710816,11213
95,0,0x110121,0,63366176,11218
96,0,0x110121,0,64021536,11209
97,0,0x110121,0,64676896,11207
98,0,0x110121,0,65332256,11290
99,0,0x110121,0,65987616,11215
100,0,0x110121,0,66642976,11210
101,0,0x110121,0,67298336,11203
102,0,0x110121,0,67953696,11202
103,0,0x110121,0,68609056,11217
104,0,0x110121,0,69264416,10400
105,0,0x110121,0,69919776,11206
106,0,0x110121,0,70575136,11192
107,0,0x110121,0,71230496,11213
108,0,0x110121,0,71885856,11211
109,0,0x110121,0,72541216,11204
110,0,0x110121,0,73196576,11214
111,0,0x110121,0,73851936,11205
112,0,0x110121,0,74507296,11194
113,0,0x110121,0,75162656,10666
114,0,0x110121,0,75818016,11202
115,0,0x110121,0,76473376,11979
116,0,0x110121,0,77128736,11566
117,0,0x110121,0,77784096,11203
118,0,0x110121,0,78439456,11214
119,0,0x110121,0,79094816,11284
120,0,0x110121,0,79750176,11207
121,0,0x110121,0,80405536,11204
122,0,0x110121,0,81060896,9031
123,0,0x110121,0,81716256,11204
124,0,0x110121,0,82371616,11210
125,0,0x110121,0,83026976,11208
126,0,0x110121,0,83682336,11203
127,0,0x110121,0,84337696,11214
128,0,0x110121,0,84993056,11210
129,0,0x110121,0,85648416,11214
130,0,0x110121,0,86303776,11205
131,0,0x110121,0,86959136,9494
132,0,0x110121,0,87614496,11211
133,0,0x110121,0,88269856,11640
134,0,0x110121,0,88925216,11217
135,0,0x110121,0,89580576,11208
136,0,0x110121,0,90235936,10739
137,0,0x110121,0,90891296,11207
138,0,0x110121,0,91546656,11206
139,0,0x110121,0,92202016,11199
140,0,0x110121,0,92857376,11219
141,0,0x110121,0,93512736,11203
142,0,0x110121,0,94168096,11208
143,0,0x110121,0,94823456,11210
144,0,0x110121,0,95478816,11212
145,0,0x110121,0,96134176,11202
146,0,0x110121,0,96789536,11900
147,0,0x110121,0,97444896,9372
148,0,0x110121,0,98100256,11204
149,0,0x110121,0,98755616,11221
150,0,0x110121,0,99410976,11207
151,0,0x110121,0,100066336,11216
152,0,0x110121,0,100721696,11201
153,0,0x110121,0,101377056,11215
154,0,0x110121,0,102032416,11205
155,0,0x110121,0,102687776,11213
156,0,0x110121,0,103343136,11212
157,0,0x110121,0,103998496,11211
158,0,0x110121,0,104653856,11208
159,0,0x110121,0,105309216,11211
160,0,0x110121,0,105964576,11208
161,0,0x110121,0,106619936,11207
162,0,0x110121,0,107275296,11210
163,0,0x110121,0,107930656,11209
164,0,0x110121,0,108586016,11208
165,0,0x110121,0,109241376,11212
166,0,0x110121,0,109896736,11508
167,0,0x110121,0,110552096,11211
168,0,0x110121,0,111207456,11210
169,0,0x110121,0,111862816,11206
170,0,0x110121,0,112518176,11209
171,0,0x110121,0,113173536,11212
172,0,0x110121,0,113828896,11205
173,0,0x110121,0,114484256,11205
174,0,0x110121,0,115139616,11213
175,0,0x110121,0,115794976,11401
176,0,0x110121,0,116450336,11214
177,0,0x110121,0,117105696,11208
178,0,0x110121,0,117761056,11218
179,0,0x110121,0,118416416,10486
180,0,0x110121,0,119071776,11214
181,0,0x110121,0,119727136,11209
182,0,0x110121,0,120382496,11213
183,0,0x110121,0,121037856,11213
184,0,0x110121,0,121693216,11207
185,0,0x110121,0,122348576,11214
186,0,0x110121,0,123003936,11203
187,0,0x110121,0,123659296,11206
188,0,0x110121,0,124314656,10231
189,0,0x110121,0,124970016,11210
190,0,0x110121,0,125625376,11899
191,0,0x110121,0,126280736,11212
192,0,0x110121,0,126936096,11214
193,0,0x110121,0,127591456,9611
194,0,0x110121,0,128246816,11198
195,0,0x110121,0,128902176,11207
196,0,0x110121,0,129557536,9495
